State Postal Code,State FIPS,District ID Number,School District Name,County Names,County FIPS
NY,36,00017,Genesee Valley Central School District,Allegany County,003
NY,36,11940,Geneseo Central School District,Livingston County,051
NY,36,11970,Geneva City School District,Ontario County,069
NY,36,11970,Geneva City School District,Seneca County,099
NY,36,11970,Geneva City School District,Yates County,123
NY,36,22100,Georgetown-South Otselic Central School District,Chenango County,017
NY,36,22100,Georgetown-South Otselic Central School District,Madison County,053
NY,36,12030,Germantown Central School District,Columbia County,021
NY,36,04757,Gilbertsville-Mount Upton Central School District,Chenango County,017
NY,36,04757,Gilbertsville-Mount Upton Central School District,Otsego County,077
NY,36,12120,Gilboa-Conesville Central School District,Delaware County,025
NY,36,12120,Gilboa-Conesville Central School District,Greene County,039
NY,36,12120,Gilboa-Conesville Central School District,Schoharie County,095
NY,36,12180,Glen Cove City School District,Nassau County,059
NY,36,12240,Glens Falls City School District,Warren County,113
NY,36,02310,Glens Falls Common School District,Warren County,113
NY,36,12270,Gloversville City School District,Fulton County,035
NY,36,12300,Gorham-Middlesex Central School District (Marcus Whitman),Ontario County,069
NY,36,12300,Gorham-Middlesex Central School District (Marcus Whitman),Yates County,123
NY,36,12330,Goshen Central School District,Orange County,071
NY,36,12360,Gouverneur Central School District,Jefferson County,045
NY,36,12360,Gouverneur Central School District,St. Lawrence County,089
NY,36,12390,Gowanda Central School District,Cattaraugus County,009
NY,36,12390,Gowanda Central School District,Chautauqua County,013
NY,36,12390,Gowanda Central School District,Erie County,029
NY,36,07020,Grand Island Central School District,Erie County,029
NY,36,12450,Granville Central School District,Washington County,115
NY,36,12510,Great Neck Union Free School District,Nassau County,059
NY,36,12630,Greece Central School District,Monroe County,055
NY,36,12660,Green Island Union Free School District,Albany County,001
NY,36,12720,Greenburgh Central School District,Westchester County,119
NY,36,12750,Greene Central School District,Broome County,007
NY,36,12750,Greene Central School District,Chenango County,017
NY,36,12750,Greene Central School District,Cortland County,023
NY,36,12840,Greenport Union Free School District,Suffolk County,103
NY,36,12870,Greenville Central School District,Albany County,001
NY,36,12870,Greenville Central School District,Greene County,039
NY,36,12870,Greenville Central School District,Schoharie County,095
NY,36,12900,Greenwich Central School District,Washington County,115
NY,36,12960,Greenwood Lake Union Free School District,Orange County,071
NY,36,13020,Groton Central School District,Cayuga County,011
NY,36,13020,Groton Central School District,Cortland County,023
NY,36,13020,Groton Central School District,Tompkins County,109
NY,36,13080,Guilderland Central School District,Albany County,001
NY,36,13110,Hadley-Luzerne Central School District,Saratoga County,091
NY,36,13110,Hadley-Luzerne Central School District,Warren County,113
NY,36,13230,Haldane Central School District,Dutchess County,027
NY,36,13230,Haldane Central School District,Putnam County,079
NY,36,13290,Half Hollow Hills Central School District,Suffolk County,103
NY,36,13350,Hamburg Central School District,Erie County,029
NY,36,13380,Hamilton Central School District,Madison County,053
NY,36,13440,Hammond Central School District,Jefferson County,045
NY,36,13440,Hammond Central School District,St. Lawrence County,089
NY,36,13470,Hammondsport Central School District,Schuyler County,097
NY,36,13470,Hammondsport Central School District,Steuben County,101
NY,36,13530,Hampton Bays Union Free School District,Suffolk County,103
NY,36,13560,Hancock Central School District,Delaware County,025
NY,36,13590,Hannibal Central School District,Cayuga County,011
NY,36,13590,Hannibal Central School District,Oswego County,075
NY,36,13620,Harborfields Central School District,Suffolk County,103
NY,36,13710,Harpursville Central School District,Broome County,007
NY,36,13710,Harpursville Central School District,Chenango County,017
NY,36,13740,Harrison Central School District,Westchester County,119
NY,36,13770,Harrisville Central School District,Lewis County,049
NY,36,13770,Harrisville Central School District,St. Lawrence County,089
NY,36,13830,Hartford Central School District,Washington County,115
NY,36,13950,Hastings-on-Hudson Union Free School District,Westchester County,119
NY,36,13980,Hauppauge Union Free School District,Suffolk County,103
NY,36,14010,Haverstraw-Stony Point Central School District (North Rockland),Orange County,071
NY,36,14010,Haverstraw-Stony Point Central School District (North Rockland),Rockland County,087
NY,36,14130,Hempstead Union Free School District,Nassau County,059
NY,36,14190,Hendrick Hudson Central School District,Westchester County,119
NY,36,14220,Herkimer Central School District,Herkimer County,043
NY,36,14250,Hermon-DeKalb Central School District,St. Lawrence County,089
NY,36,14280,Herricks Union Free School District,Nassau County,059
NY,36,14310,Heuvelton Central School District,St. Lawrence County,089
NY,36,31710,Hewlett-Woodmere Union Free School District,Nassau County,059
NY,36,14340,Hicksville Union Free School District,Nassau County,059
