Title,Author,Secondary Author(s),Illustrator(s),Translator(s),Series Name,State,District,Date of Challenge/Removal,Ban Status,Origin of Challenge
Notes from a Young Black Chef (Adapted for Young Adults),"Onwuachi, Kwame","Stein, Joshua David",,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
"Novels for Students, Vol. 55","Mallegg, Kristin",,,,Novels for Students,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
"Novels for Students, Vol. 60","Hill, Melissa Sue","Lee, Michelle",,,Novels for Students,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
"Novels for Students, Vol. 61","Hill, Melissa Sue","Lee, Michelle",,,Novels for Students,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
"Novels for Students, Vol. 9","Stanley, Deborah A.","Milne, Ira Mark",,,Novels for Students,Florida,Clay County School District,Sep-22,Banned Pending Investigation,Formal Challenge
Num8ers,"Ward, Rachel",,,,Numb8rs,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
"On the Bright Side, I'm Now the Girlfriend of a Sex God (Confessions of Georgia Nicolson #2)","Rennison, Louise",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
One Man Guy,"Barakiva, Michael",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
One of Us Is Lying,"McManus, Karen M.",,,,One of Us Is Lying,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
"One Person, No Vote (YA edition): How Not All Voters Are Treated Equally","Anderson, Carol","Bolden, Tonya",,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Out of Darkness,"Pérez, Ashley Hope",,,,,Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
Outlander,"Gabaldon, Diana",,,,Outlander,Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
People Kill People,"Hopkins, Ellen",,,,,Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
Percy Jackson's Greek Gods,"Riordan, Rick",,,,Camp Half-Blood Chronicles,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Perfect,"Hopkins, Ellen",,,,Impulse,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Perfectly Good White Boy,"Mesrobian, Carrie",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Persepolis: The Story of a Childhood,"Satrapi, Marjane",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Protest Movements: Then and Now,"Braun, Eric",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Punching the Air,"Zoboi, Ibi","Salaam, Yusef",,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Push,Sapphire,,,,,Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
Queen of Shadows,"Maas, Sarah J.",,,,Throne of Glass,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Radiant Child: The Story of Young Artist Jean-Michel Basquiat,"Steptoe, Javaka",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Radio Silence,"Oseman, Alice",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Rage and Ruin,"Armentrout, Jennifer L.",,,,Harbinger,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Ramona Blue,"Murphy, Julie",,,,,Florida,Clay County School District,Sep-22,Banned Pending Investigation,Formal Challenge
Ready or Not,"Cabot, Meg",,,,All-American Girl,Florida,Clay County School District,Sep-22,Banned from Libraries and Classrooms,Formal Challenge
Ready Player One,"Cline, Ernest",,,,Ready Player One,Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
"Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver","Lockhart, E.",,,,,Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
Red at the Bone,"Woodson, Jacqueline",,,,,Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
Red Hood,"Arnold, Elana K.",,,,,Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
"Red, White, and Royal Blue","McQuiston, Casey",,,,,Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
Red: A Crayon's Story,"Hall, Michael",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Regretting You,"Hoover, Colleen",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Reverie,"La Sala, Ryan",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Rules (CL),"Lord, Cynthia",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Rumble,"Hopkins, Ellen",,,,,Florida,Clay County School District,Sep-22,Banned Pending Investigation,Formal Challenge
Russian Hacking in American Elections (Special Reports),"Harris, Duchess","Lusted, Marcia Amidon",,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Savage Inequalities: Children in America's Schools,"Kozol, Jonathan",,,,,Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
Scars,"Rainfield, Cheryl",,,,,Florida,Clay County School District,Sep-22,Banned Pending Investigation,Formal Challenge
Separate Is Never Equal: Sylvia Mendez and Her Family’s Fight for Desegregation,"Tonatiuh, Duncan",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Shadow Kiss,"Mead, Richelle",,,,Vampire Academy,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Shadowshaper,"Older, Daniel José",,,,The Shadowshaper Cypher,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Shine,"Myracle, Lauren",,,,,Florida,Clay County School District,Sep-22,Banned from Libraries and Classrooms,Formal Challenge
Shiver,"Stiefvater, Maggie",,,,The Wolves of Mercy Falls,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Shout,"Anderson, Laurie Halse",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Slaughterhouse-Five,"Vonnegut Jr., Kurt",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Slaughterhouse-Five: The Graphic Novel,"Vonnegut Jr., Kurt","North, Ryan","Monteys, Albert",,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Snapdragon,"Leyh, Kat",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Sold,"McCormick, Patricia",,,,,Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
Someday,"Levithan, David",,,,Every Day,Florida,Clay County School District,Nov-22,Banned Pending Investigation,Formal Challenge
Someone I Used to Know,"Blount, Patty",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Something Happened in Our Town,"Celano, Marianne","Moses, Donald",,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Something to Say,"Ramée, Lisa Moore",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Speak,"Anderson, Laurie Halse",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Speak: The Graphic Novel,"Anderson, Laurie Halse",,"Carroll, Emily",,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Spider-Man in Face-to-Face with the Lizard,"Lee, Stan","Ditko, Steve; Quantz, Daniel","Meyers; Jonboy; Davidson, Pat; Molinar; Larry; Gentile, Randy",,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Spinning,"Walden, Tillie",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Stained,"Jacobson, Jennifer Richard",,,,,Florida,Clay County School District,Sep-22,Banned from Libraries and Classrooms,Formal Challenge
"Stamped (For Kids): Racism, Antiracism, and You","Reynolds, Jason","Kendi, Ibram X.; Cherry-Paul, Sonja",,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Stamped from the Beginning: The Definitive History of Racist Ideas in America,"Kendi, Ibram X.",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
"Stamped: Racism, Antiracism, and You","Reynolds, Jason","Kendi, Ibram X.",,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Stella,"Hoyle, McCall",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Stella Brings the Family,"Schiffer, Miriam B.",,"Clifton-Brown, Holly",,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Storm and Fury,"Armentrout, Jennifer L.",,,,Harbinger,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Story of a Girl,"Zarr, Sara",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Strange Truth,"Thrash, Maggie",,,,Strange Truth,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Sulwe,"Nyong'o, Lupita",,"Harrison, Vashti",,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Take the Mic: Fictional Stories of Everyday Resistance,"Reynolds, Jason","Ahmed, Samira; Lewis, L.D.; Stoeve, Ray; Silverman, Laura; Quintero, Sofia; Brown, Keah; Little Badger, Darcie; Sun, Connie; Méndez, Yamile Saied; Morrow, Bethany C.","Pope, Richie",,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,"Slater, Dashka",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Adventures of Honey and Leon,"Cumming, Alan","Shaffer, Grant",,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Art of Racing in the Rain,"Stein, Garth",,,,,Florida,Clay County School District,Sep-22,Banned from Libraries and Classrooms,Formal Challenge
The Art of Starving,"Miller, Sam J.",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Assassin's Blade,"Maas, Sarah J.",,,,Throne of Glass,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Beast and the Bethany,"Meggitt-Phillips, Jack","Follath, Isabelle",,,The Beast and the Bethany,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Best Laid Plans,"Lund, Cameron",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Black Flamingo,"Atta, Dean",,,,,Florida,Clay County School District,Jul-22,Banned from Libraries,Formal Challenge
The Black Friend: On Being a Better White Person,"Joseph, Frederick",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Bluest Eye,"Morrison, Toni",,,,,Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
The Boy and Girl Who Broke the World,"Reed, Amy",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Breakaways,"Johnson, Cathy G.",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Carnival at Bray,"Foley, Jessie Ann",,,,,Florida,Clay County School District,Sep-22,Banned from Libraries and Classrooms,Formal Challenge
The Chandler Legacies,"Nazemian, Abdi",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Color of Earth,"Kim, Dong Hwa",,,,Color Trilogy,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Detour,"Bodeen, S.A.",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Disturbed Girl's Dictionary,"Ramos, NoNieqa",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Elephant in the Room,"Sloan, Holly Goldberg",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Emerald Sea,"Mead, Richelle",,,,The Glittering Court,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Fault in Our Stars,"Green, John",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Female of the Species,"McGinnis, Mindy",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Fire Next Time,"Baldwin, James",,,,,Florida,Clay County School District,Oct-22,Banned from Libraries and Classrooms,Formal Challenge
The Fire This Time: A New Generation Speaks About Race,"Ward, Jesmyn","Brown, Jericho; Jones, Kima; Ghannah, Rachel Kaadzi; Walters, Wendy S.; Wilkerson, Isabel; Jeffers, Honorée Fanonne; Anderson, Carol; Smith, Clint; Young, Kevin; Laymon, Kiese; Cadogan, Garnette; Rankine, Claudia; Raboteau, Emily; Jackson, Mitchell S.; Trethewey, Natasha; Older, Daniel José; Danticat, Edwidge",,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Fourth Closet: Five Nights at Freddy’s,"Cawthon, Scott","Breed-Wrisley, Kira; Hasting, Christopher","Camero, Diana",,Five Nights at Freddy's,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Gentleman's Guide to Vice and Virtue,"Lee, Mackenzi",,,,Montague Siblings,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Girl from the Sea,"Ostertag, Molly Knox",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Glass Castle,"Walls, Jeannette",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Glittering Court,"Mead, Richelle",,,,The Glittering Court,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The God Box,"Sanchez, Alex",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The God of Small Things,"Roy, Arundhati",,,,,Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
The Handmaid's Tale,"Atwood, Margaret",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",,"Nault, Renee",,,Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
The Hate U Give,"Thomas, Angie",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Haters,"Andrews, Jesse",,,,,Florida,Clay County School District,Jul-22,Banned from Libraries and Classrooms,Formal Challenge
The Heartbreak Bakery,"Capetta, A. R.",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The House on Mango Street,"Cisneros, Sandra",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Invisible Life of Addie LaRue,"Schwab, V. E.",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Kite Runner,"Hosseini, Khaled",,,,,Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
The League of Super Feminists,"Malle, Mirion",,,"Jensen, Aleshia",,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Lotterys More or Less,"Donoghue, Emma",,"Hadilaksono, Caroline",,The Lotterys,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Lotterys Plus One,"Donoghue, Emma",,"Hadilaksono, Caroline",,The Lotterys,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Love Interest,"Dietrich, Cale",,,,,Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
The Lovely Bones,"Sebold, Alice",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Midnight Lie,"Rutkoski, Marie",,,,Forgotten Gods,Florida,Clay County School District,Sep-22,Banned from Libraries and Classrooms,Formal Challenge
The Music of What Happens,"Konigsberg, Bill",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Nowhere Girls,"Reed, Amy",,,,,Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
The Only Black Girls in Town,"Colbert, Brandy",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Other Talk: Reckoning with Our White Privilege,"Kiely, Brendan",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Perks of Being a Wallflower,"Chbosky, Stephen",,,,,Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
The Poet X,"Acevedo, Elizabeth",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Prince and the Dressmaker,"Wang, Jen",,,,,Florida,Clay County School District,Sep-22,Banned Pending Investigation,Formal Challenge
The Remarkable Journey of Coyote Sunrise,"Gemeinhart, Dan",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Sacrifice of Darkness,"Gay, Roxane","Oliver, Tracy Lynne","Kirby, Rebecca; Fenner, James",,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Season of Styx Malone,"Magoon, Kekla",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Sin-Eater's Confession,"Bick, Ilsa J.",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Sky is Everywhere,Jandy Nelson,,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Sun and Her Flowers,"Kaur, Rupi",,,,,Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
The Testaments,"Atwood, Margaret",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Truth About Alice: A Novel,"Mathieu, Jennifer",,,,,Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
The Truth Is,"Ramos, NoNieqa",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Upside of Unrequited,"Albertalli, Becky",,,,Simonverse,Florida,Clay County School District,Sep-22,Banned from Libraries,Formal Challenge
The You I've Never Known,"Hopkins, Ellen",,,,,Florida,Clay County School District,Jul-22,Banned from Libraries and Classrooms,Formal Challenge
They Both Die at the End,"Silvera, Adam",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Third Time's a Charm,"Gudsnuk, Kristen",,,,Making Friends,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Thirteen Reasons Why,"Asher, Jay",,,,,Florida,Clay County School District,Jul-22,Banned from Libraries,Formal Challenge
"This Book Is Anti-Racist: 20 Lessons on How to Wake Up, Take Action, and Do the Work","Jewell, Tiffany",,"Durand, Aurelia",,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
This One Summer,"Tamaki, Mariko",,"Tamaki, Jillian",,,Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
Throne of Glass,"Maas, Sarah J.",,,,Throne of Glass,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Tiger Eyes,"Blume, Judy",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Tilt,"Hopkins, Ellen",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Touch,"Prose, Francine",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Tower of Dawn,"Maas, Sarah J.",,,,Throne of Glass,Florida,Clay County School District,Sep-22,Banned Pending Investigation,Formal Challenge
Traffick,"Hopkins, Ellen",,,,Tricks,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Trans Mission: My Quest to a Beard,"Bertie, Alex",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Trans Teen Survival Guide,"Fisher, Owl","Fisher, Fox",,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Triangles,"Hopkins, Ellen",,,,,Florida,Clay County School District,Jul-22,Banned from Libraries and Classrooms,Formal Challenge
Tricks,"Hopkins, Ellen",,,,Tricks,Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
ttfn,"Myracle, Lauren",,,,Internet Girls,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
ttyl,"Myracle, Lauren",,,,Internet Girls,Florida,Clay County School District,Sep-22,Banned Pending Investigation,Formal Challenge
Twisted,"Anderson, Laurie Halse",,,,,Florida,Clay County School District,Sep-22,Banned Pending Investigation,Formal Challenge
Two Boys Kissing,"Levithan, David",,,,,Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
Uncomfortable Conversations with a Black Boy,"Acho, Emmanuel",,,,,Florida,Clay County School District,Sep-22,Banned from Libraries,Formal Challenge
Unpregnant,"Hendriks, Jenni","Caplan, Ted",,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Unravel Me,"Mafi, Tahereh",,,,Shatter Me,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Vampire Academy,"Mead, Richelle",,,,Vampire Academy,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Vanishing Acts,"Picoult, Jodi",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Watchmen,"Moore, Alan",,"Gibbons, Dave",,Watchmen Comics,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Water for Elephants,"Gruen, Sara",,,,,Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
Ways to Live Forever,"Nicholls, Sally",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Wayward Son,"Rowell, Rainbow",,,,Simon Snow,Florida,Clay County School District,Jul-22,Banned Pending Investigation,Formal Challenge
We Are Here to Stay: Voices of Undocumented Young Adults,"Kuklin, Susan",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
We Are Not From Here,"Sanchez, Jenny Torres",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
We Are Not Your Equal: Understanding Our Racial Divide,"Anderson, Carol","Bolden, Tonya",,,,Florida,Clay County School District,Sep-22,Banned Pending Investigation,Formal Challenge
We Are Okay,"LaCour, Nina",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
We Are the Ants,"Hutchinson, Shaun David",,,,,Florida,Clay County School District,Sep-22,Banned from Libraries and Classrooms,Formal Challenge
"We Rise, We Resist, We Raise our Voices","Hudson, Wade","Hudson, Cheryl Willis",,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
What My Mother Doesn't Know,"Sones, Sonya",,,,What My Mother Doesn't Know,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
When I Was the Greatest,"Reynolds, Jason",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Where I End and You Begin,"Norton, Preston",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Where She Went,"Forman, Gayle",,,,If I Stay,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Where the Crawdads Sing,"Owens, Delia",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Wicked: The Life and Times of the Wicked Witch of the West,"Maguire, Gregory",,,,The Wicked Years,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Wintergirls,"Anderson, Laurie Halse",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Wither,"DeStefano, Lauren",,,,The Chemical Garden Trilogy,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Woke: A Young Poets Call to Justice,"Browne, Mahogany L.","Acevedo, Elizabeth; Gatwood, Olivia","Taylor III, Theodore",,,Florida,Clay County School District,Sep-22,Banned Pending Investigation,Formal Challenge
Yolk,"Choi, Mary H.K.",,,,,Florida,Clay County School District,Sep-22,Banned from Libraries and Classrooms,Formal Challenge
yolo,"Myracle, Lauren",,,,Internet Girls,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
You Asked for Perfect,"Silverman, Laura",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
You Don't Have to Be Everything: Poems for Girls Becoming Themselves,"Whitney, Diana",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
You Too?: 25 Voices Share Their #MeToo Stories,"Gurtler, Janet","Blount, Patty; Brown, Jennifer; Brownlee, Tiffany; Capelle, Jess; Clifford, Kenna; Darrows, Eva; Davis, Dana L.; Davis, Ronni; Deen, Natasha; DiDomizio, Nicolas; Forna, Namina; Glass, Jenna; Hall, Teri; Hopkins, Ellen; Lee, Mackenzi; Mitchell, Saundra; Novak, Ali; Porinchak, Eve; Rainfield, Cheryl; Revis, Beth; Rogers, Andrea L.; Seitz, Lulabel; Thrace, Mischa; Zhang, Amy",,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Zen Shorts,"Muth, Jon J.",,,,Zen,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Zenobia July,"Bunker, Lisa",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
